CustomerID,Lookalikes
C0001,"[('C0184', 0.994), ('C0048', 0.982), ('C0190', 0.965)]"
C0002,"[('C0088', 0.997), ('C0092', 0.933), ('C0106', 0.898)]"
C0003,"[('C0076', 0.94), ('C0052', 0.907), ('C0031', 0.892)]"
C0004,"[('C0169', 0.978), ('C0165', 0.975), ('C0087', 0.967)]"
C0005,"[('C0186', 0.998), ('C0140', 0.991), ('C0146', 0.987)]"
C0006,"[('C0126', 0.987), ('C0187', 0.987), ('C0011', 0.977)]"
C0007,"[('C0146', 1.0), ('C0005', 0.987), ('C0115', 0.984)]"
C0008,"[('C0065', 0.853), ('C0059', 0.848), ('C0160', 0.764)]"
C0009,"[('C0198', 1.0), ('C0061', 0.967), ('C0062', 0.958)]"
C0010,"[('C0062', 0.94), ('C0111', 0.924), ('C0103', 0.865)]"
C0011,"[('C0006', 0.977), ('C0137', 0.963), ('C0126', 0.955)]"
C0012,"[('C0163', 0.993), ('C0104', 0.972), ('C0113', 0.971)]"
C0013,"[('C0099', 0.986), ('C0108', 0.961), ('C0082', 0.819)]"
C0014,"[('C0060', 0.999), ('C0089', 0.898), ('C0097', 0.882)]"
C0015,"[('C0131', 0.979), ('C0036', 0.967), ('C0094', 0.945)]"
C0016,"[('C0183', 0.976), ('C0067', 0.901), ('C0098', 0.867)]"
C0017,"[('C0041', 0.966), ('C0075', 0.96), ('C0057', 0.93)]"
C0018,"[('C0122', 0.992), ('C0046', 0.98), ('C0194', 0.895)]"
C0019,"[('C0073', 0.995), ('C0132', 0.963), ('C0167', 0.959)]"
C0020,"[('C0157', 0.897), ('C0058', 0.862), ('C0033', 0.858)]"
